Review_ID,Product_Name,Review_Text
1,Wireless Headphones,The sound quality is incredible and fits perfectly. Love it!
2,Smart Watch,Battery dies in two hours. Complete waste of money.
3,Coffee Maker,It makes decent coffee. Nothing spectacular but gets the job done.
4,Ergonomic Office Chair,My back pain is completely gone after using this for a week. Highly recommend!
5,Gaming Mouse,The click latency is awful and it keeps disconnecting during games.
6,Smartphone Case,It is just a basic plastic case. It fits the phone fine but feels a bit cheap.
7,Running Shoes,Super comfortable and very lightweight. Perfect for my morning marathons.
8,Blender 3000,"This thing is so loud it sounds like a jet engine, and it barely blends frozen fruit."
9,Electric Toothbrush,"It works as advertised. Nothing more, nothing less. Battery life is average."
10,4K Monitor,The screen colors are stunning and the bezels are super thin. Amazing display!
11,Portable Power Bank,Stopped working after the second charge. Avoid this brand.
12,Laptop Backpack,"Lots of pockets and decent material. It's an okay bag for school."
13,Mechanical Keyboard,The switches feel amazing to type on and the RGB lighting looks spectacular.
14,Robot Vacuum,It constantly gets stuck under the couch and misses half the dirt on the floor.
15,Desk Lamp,It provides light. The brightness settings are fine.
